country,iso2c,iso3c,year,status,lastupdated,pib_capita,esp_vida,poblacion,region,capital,longitude,latitude,income,lending
Afghanistan,AF,AFG,2016,,2025-12-19,522.082215583898,62.646,34700612,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2018,,2025-12-19,491.337221382603,62.443,36743039,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2022,,2025-12-19,357.261152798144,65.617,40578842,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2015,,2025-12-19,565.569730408751,62.27,33831764,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2024,,2025-12-19,NA,NA,42647492,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2017,,2025-12-19,525.469770891619,62.406,35688935,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2014,,2025-12-19,625.054941813938,62.26,32792523,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2023,,2025-12-19,413.757894705303,66.035,41454761,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2021,,2025-12-19,356.496214115892,60.417,40000412,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2019,,2025-12-19,496.6025042585,62.941,37856121,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Afghanistan,AF,AFG,2020,,2025-12-19,510.787063366811,61.454,39068979,South Asia,Kabul,69.1761,34.5228,Low income,IDA
Africa Eastern and Southern,ZH,AFE,2020,,2025-12-19,1351.59166910879,63.7664840026943,694446100,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2019,,2025-12-19,1507.08559963484,63.8572612837043,675950189,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2016,,2025-12-19,1334.47050032928,62.1679813169199,623369401,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2024,,2025-12-19,1615.39635562849,NA,769280888,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2021,,2025-12-19,1562.41617477738,62.9799991857494,713090928,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2018,,2025-12-19,1552.07372194919,63.3306913582336,657801085,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2022,,2025-12-19,1679.32762166466,64.4870195456608,731821393,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2017,,2025-12-19,1528.10422421284,62.5912750961501,640058741,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,,2025-12-19,1498.8752400759,61.713030523495,607123269,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,,2025-12-19,1690.16679245944,61.2514360156709,590968990,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2023,,2025-12-19,1571.44918918981,65.1461543479959,750491370,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2024,,2025-12-19,1411.33702938476,NA,521764076,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2020,,2025-12-19,2030.86165860293,57.3644254011107,474569351,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2021,,2025-12-19,2112.79407637079,57.3625716910274,485920997,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2023,,2025-12-19,1841.85506354867,58.8557215483277,509398589,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2022,,2025-12-19,2138.47315259913,57.9878133945189,497387180,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2018,,2025-12-19,1720.14009242722,57.036976441386,452195915,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2015,,2025-12-19,1860.72768628324,56.0383356484355,418127845,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2016,,2025-12-19,1630.03943895258,56.3924518507367,429454743,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2017,,2025-12-19,1574.23056437855,56.6264388112566,440882906,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2019,,2025-12-19,2216.38505520833,57.1498467555118,463365429,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2014,,2025-12-19,2221.35033761012,55.6954463398569,406992047,Aggregates,,,,Aggregates,Aggregates
Albania,AL,ALB,2016,,2025-12-19,4457.63412207495,78.643,2689469,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2017,,2025-12-19,5006.36012951959,78.9,2648285,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2023,,2025-12-19,9730.86921906893,79.602,2414095,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2018,,2025-12-19,5897.65452588774,79.238,2607733,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
